#  Fresno, California Year-to-Date Precipitation 
# Units: Inches
# Missing: -99
Date,Value
194801,-0
194802,0.77
194803,3.06
194804,5.34
194805,6.3
194806,6.31
194807,6.31
194808,6.31
194809,6.31
194810,6.39
194811,6.41
194812,7.65
194901,0.6
194902,1.33
194903,4.93
194904,4.94
194905,5.34
194906,5.33
194907,5.33
194908,5.33
194909,5.33
194910,5.32
194911,5.78
194912,6.56
195001,3.02
195002,4.86
195003,6.7
195004,7.52
195005,7.57
195006,7.57
195007,7.6
195008,7.59
195009,7.72
195010,8.92
195011,10.78
195012,12.38
195101,1.94
195102,3.55
195103,3.85
195104,5.43
195105,5.45
195106,5.51
195107,5.51
195108,5.51
195109,5.51
195110,5.84
195111,6.87
195112,9.69
195201,3.59
195202,4.13
195203,7.7
195204,9.77
195205,9.77
195206,9.78
195207,9.78
195208,9.78
195209,9.87
195210,9.89
195211,11.5
195212,15.55
195301,1.49
195302,1.58
195303,2.17
195304,3.13
195305,3.62
195306,3.94
195307,3.94
195308,3.93
195309,3.93
195310,4.11
195311,5.63
195312,6.14
195401,1.8
195402,2.94
195403,5.84
195404,6.32
195405,6.41
195406,6.7
195407,6.7
195408,6.7
195409,6.7
195410,6.7
195411,8.02
195412,9.84
195501,3.51
195502,4.97
195503,5.04
195504,6.52
195505,7.15
195506,7.15
195507,7.15
195508,7.14
195509,7.14
195510,7.14
195511,8.48
195512,15.21
195601,2.41
195602,3.07
195603,3.15
195604,4.53
195605,5.34
195606,5.34
195607,5.34
195608,5.34
195609,5.33
195610,6.33
195611,6.33
195612,6.65
195701,1.76
195702,3.27
195703,3.8
195704,5.18
195705,6.74
195706,6.91
195707,6.9
195708,6.9
195709,7.09
195710,7.52
195711,8.54
195712,10.45
195801,2.04
195802,6.15
195803,11.94
195804,14.65
195805,15.44
195806,15.46
195807,15.48
195808,15.49
195809,15.95
195810,15.95
195811,16.16
195812,16.48
195901,1.47
195902,5.13
195903,5.22
195904,5.76
195905,5.85
195906,5.85
195907,5.85
195908,5.86
195909,6.78
195910,6.78
195911,6.78
195912,7.22
196001,2.09
196002,4.46
196003,5.13
196004,6.63
196005,6.65
196006,6.65
196007,6.64
196008,6.64
196009,6.66
196010,6.75
196011,9.5
196012,9.58
196101,1.52
196102,1.92
196103,2.96
196104,3.53
196105,3.93
196106,3.94
196107,3.94
196108,4.04
196109,4.03
196110,4.03
196111,5.63
196112,6.95
196201,1.12
196202,7.09
196203,8.13
196204,8.15
196205,8.35
196206,8.35
196207,8.34
196208,8.34
196209,8.34
196210,9.07
196211,9.1
196212,9.58
196301,2.16
196302,4.17
196303,6.27
196304,9.94
196305,10.33
196306,10.36
196307,10.36
196308,10.37
196309,10.52
196310,11.47
196311,14.02
196312,14.29
196401,0.67
196402,0.67
196403,1.93
196404,2.43
196405,2.78
196406,2.84
196407,2.84
196408,3.09
196409,3.09
196410,4.32
196411,5.81
196412,8.45
196501,1.05
196502,1.48
196503,3.86
196504,5.61
196505,5.61
196506,5.6
196507,5.6
196508,5.62
196509,5.62
196510,5.92
196511,8.61
196512,10.35
196601,0.53
196602,1.07
196603,1.08
196604,1.23
196605,1.33
196606,1.4
196607,1.43
196608,1.43
196609,1.46
196610,1.46
196611,3.04
